Provinsi,Laki-Laki (L) - < S1,Laki-Laki (L) - ≥ S1,Laki-Laki (L) - Subjml,Perempuan (P) - < S1,Perempuan (P) - ≥ S1,Perempuan (P) - Subjml,Laki-Laki dan Perempuan - < S1,Laki-Laki dan Perempuan - ≥ S1,Laki-Laki dan Perempuan - Jumlah,Status
Prov. D.K.I. Jakarta,68,6844,6912,95,16518,16613,163,23362,23525,Negeri
Prov. Jawa Barat,963,57461,58424,1256,116380,117636,2219,173841,176060,Negeri
Prov. Jawa Tengah,583,47447,48030,524,100849,101373,1107,148296,149403,Negeri
Prov. D.I. Yogyakarta,74,4321,4395,70,10224,10294,144,14545,14689,Negeri
Prov. Jawa Timur,719,54744,55463,738,100470,101208,1457,155214,156671,Negeri
Prov. Aceh,451,9956,10407,1001,35776,36777,1452,45732,47184,Negeri
Prov. Sumatera Utara,651,20727,21378,1249,71331,72580,1900,92058,93958,Negeri
Prov. Sumatera Barat,206,9035,9241,344,34790,35134,550,43825,44375,Negeri
Prov. Riau,437,10756,11193,826,33163,33989,1263,43919,45182,Negeri
Prov. Jambi,326,7182,7508,475,18902,19377,801,26084,26885,Negeri
Prov. Sumatera Selatan,479,14456,14935,855,39574,40429,1334,54030,55364,Negeri
Prov. Lampung,451,13990,14441,784,36767,37551,1235,50757,51992,Negeri
Prov. Kalimantan Barat,526,12452,12978,732,23996,24728,1258,36448,37706,Negeri
Prov. Kalimantan Tengah,212,7415,7627,366,16452,16818,578,23867,24445,Negeri
Prov. Kalimantan Selatan,257,8793,9050,245,18706,18951,502,27499,28001,Negeri
Prov. Kalimantan Timur,146,6734,6880,250,16015,16265,396,22749,23145,Negeri
Prov. Sulawesi Utara,104,2917,3021,331,11545,11876,435,14462,14897,Negeri
Prov. Sulawesi Tengah,440,7305,7745,768,19415,20183,1208,26720,27928,Negeri
Prov. Sulawesi Selatan,349,15611,15960,687,49122,49809,1036,64733,65769,Negeri
Prov. Sulawesi Tenggara,218,7270,7488,498,20671,21169,716,27941,28657,Negeri
Prov. Maluku,406,3540,3946,871,11010,11881,1277,14550,15827,Negeri
Prov. Bali,81,8516,8597,76,14375,14451,157,22891,23048,Negeri
Prov. Nusa Tenggara Barat,315,15515,15830,380,26610,26990,695,42125,42820,Negeri
Prov. Nusa Tenggara Timur,486,13203,13689,734,26721,27455,1220,39924,41144,Negeri
Prov. Papua,199,1519,1718,245,3232,3477,444,4751,5195,Negeri
Prov. Bengkulu,122,4244,4366,208,11354,11562,330,15598,15928,Negeri
Prov. Maluku Utara,293,2855,3148,808,8558,9366,1101,11413,12514,Negeri
Prov. Banten,308,14350,14658,335,31202,31537,643,45552,46195,Negeri
Prov. Kepulauan Bangka Belitung,42,2574,2616,69,6131,6200,111,8705,8816,Negeri
Prov. Gorontalo,27,1819,1846,93,6461,6554,120,8280,8400,Negeri
Prov. Kepulauan Riau,81,2832,2913,84,6515,6599,165,9347,9512,Negeri
